# Server version 0.08 running on Siegetank:8123
# Game ID: 662
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 03 16:48:03 EST 2016
# Player 1: Player-0, 'Human', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 Human
START Player-1 260498154
PIT 0 23
PIT 1 22
PIT 0 9
PIT 1 21
PIT 0 10
PIT 1 24
PIT 0 4
PIT 1 17
PIT 0 1
PIT 1 28
PIT 0 0
PIT 1 31
PIT 0 5
PIT 1 31
PIT 0 4
PIT 1 29
PIT 0 7
PIT 1 27
PIT 0 10
PIT 1 1
PIT 0 9
PIT 1 29
PIT 0 11
PIT 1 22
PIT 0 12
PIT 1 31
PIT 0 13
PIT 1 30
PIT 0 14
PIT 1 23
GAMEOVER WINNER 1
# Game ended: Thu Mar 03 16:48:44 EST 2016
