# Server version 0.08 running on Siegetank:8123
# Game ID: 989
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 10 10:36:29 EST 2016
# Player 1: Player-0, 'Human', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 Human
START Player-1 260498154
PIT 0 23
PIT 1 22
PIT 0 21
PIT 1 4
PIT 0 22
PIT 1 20
PIT 0 16
PIT 1 10
PIT 0 17
PIT 1 23
PIT 0 20
PIT 1 19
PIT 0 25
PIT 1 28
PIT 0 14
PIT 1 29
PIT 0 6
PIT 1 14
PIT 0 2
PIT 1 31
PIT 0 1
PIT 1 30
PIT 0 0
PIT 1 27
PIT 0 6
PIT 1 30
PIT 0 9
PIT 1 31
PIT 0 10
PIT 1 28
PIT 0 13
PIT 1 31
PIT 0 14
PIT 1 29
PIT 0 15
PIT 1 26
PIT 0 16
PIT 1 31
PIT 0 17
PIT 1 30
GAMEOVER WINNER 1
# Game ended: Thu Mar 10 10:36:57 EST 2016
